"date","nc_case_day"
"2021-09-20",15999
"2021-09-21",4463
"2021-09-22",6297
"2021-09-23",6125
"2021-09-24",5719
"2021-09-25",0
"2021-09-26",0
"2021-09-27",13452
"2021-09-28",3407
"2021-09-29",4580
"2021-09-30",4943
"2021-10-01",4520
"2021-10-02",76
"2021-10-03",0
"2021-10-04",11109
"2021-10-05",2647
"2021-10-06",3582
"2021-10-07",3862
"2021-10-08",3911
"2021-10-09",0
"2021-10-10",0
"2021-10-11",9627
"2021-10-12",2304
"2021-10-13",3302
"2021-10-14",3574
"2021-10-15",2959
"2021-10-16",0
"2021-10-17",0
"2021-10-18",6960
"2021-10-19",1427
"2021-10-20",2663
"2021-10-21",2911
"2021-10-22",2675
"2021-10-23",33
"2021-10-24",0
"2021-10-25",5662
"2021-10-26",1246
"2021-10-27",2277
"2021-10-28",2577
"2021-10-29",2201
"2021-10-30",34
"2021-10-31",0
"2021-11-01",4889
"2021-11-02",1135
"2021-11-03",1545
"2021-11-04",2057
"2021-11-05",1834
"2021-11-06",2
"2021-11-07",0
"2021-11-08",4165
"2021-11-09",2221
"2021-11-10",2192
"2021-11-11",165
"2021-11-12",4063
"2021-11-13",0
"2021-11-14",0
"2021-11-15",4286
"2021-11-16",1787
"2021-11-17",2257
"2021-11-18",2467
"2021-11-19",2365
"2021-11-20",0
"2021-11-21",0
"2021-11-22",5428
"2021-11-23",1368
"2021-11-24",1881
"2021-11-25",422
"2021-11-26",0
"2021-11-27",0
"2021-11-28",0
"2021-11-29",8154
"2021-11-30",2033
"2021-12-01",961
"2021-12-02",3764
"2021-12-03",3726
"2021-12-04",0
"2021-12-05",0
"2021-12-06",8514
"2021-12-07",2178
"2021-12-08",3277
"2021-12-09",4157
"2021-12-10",3656
"2021-12-11",0
"2021-12-12",0
"2021-12-13",8779
"2021-12-14",2048
"2021-12-15",3749
"2021-12-16",4170
"2021-12-17",3985
"2021-12-18",94
"2021-12-19",0
"2021-12-20",10236
"2021-12-21",2900
"2021-12-22",5196
"2021-12-23",0
"2021-12-24",0
"2021-12-25",0
"2021-12-26",0
"2021-12-27",0
"2021-12-28",32389
"2021-12-29",9101
"2021-12-30",17588
"2021-12-31",18652
"2022-01-01",0
"2022-01-02",0
"2022-01-03",47202
"2022-01-04",10763
"2022-01-05",19919
"2022-01-06",23622
"2022-01-07",25587
"2022-01-08",305
"2022-01-09",0
"2022-01-10",73688
"2022-01-11",17625
"2022-01-12",24369
"2022-01-13",36765
"2022-01-14",34347
"2022-01-15",1391
"2022-01-16",0
"2022-01-17",0
"2022-01-18",121315
"2022-01-19",19471
"2022-01-20",25753
"2022-01-21",36579
"2022-01-22",0
"2022-01-23",0
"2022-01-24",82054
"2022-01-25",18482
"2022-01-26",20205
"2022-01-27",27526
"2022-01-28",21115
"2022-01-29",0
"2022-01-30",0
"2022-01-31",47719
"2022-02-01",9313
"2022-02-02",12443
"2022-02-03",15049
"2022-02-04",12293
"2022-02-05",0
"2022-02-06",0
"2022-02-07",24174
"2022-02-08",4522
"2022-02-09",10831
"2022-02-10",8859
"2022-02-11",7466
"2022-02-12",0
"2022-02-13",0
"2022-02-14",15003
"2022-02-15",2875
"2022-02-16",6094
"2022-02-17",5677
"2022-02-18",4955
"2022-02-19",0
"2022-02-20",0
"2022-02-21",9693
"2022-02-22",2400
"2022-02-23",3560
"2022-02-24",3744
"2022-02-25",4893
"2022-02-26",0
"2022-02-27",0
"2022-02-28",6186
"2022-03-01",1182
"2022-03-02",2202
"2022-03-03",2416
"2022-03-04",2693
"2022-03-05",0
"2022-03-06",0
"2022-03-07",4143
"2022-03-08",993
"2022-03-09",1766
"2022-03-10",1739
"2022-03-11",1915
"2022-03-12",0
"2022-03-13",0
"2022-03-14",3112
"2022-03-15",614
"2022-03-16",1526
"2022-03-17",1236
"2022-03-18",1861
"2022-03-19",0
"2022-03-20",0
"2022-03-21",2441
"2022-03-22",798
"2022-03-23",1533
"2022-03-24",1471
"2022-03-25",1239
"2022-03-26",0
"2022-03-27",0
"2022-03-28",2283
"2022-03-29",609
"2022-03-30",857
"2022-03-31",1107
"2022-04-01",1110
"2022-04-02",0
"2022-04-03",0
"2022-04-04",2052
"2022-04-05",526
"2022-04-06",807
"2022-04-07",0
"2022-04-08",175
"2022-04-09",0
"2022-04-10",0
"2022-04-11",129
"2022-04-12",113
"2022-04-13",4693
"2022-04-14",0
"2022-04-15",0
"2022-04-16",0
"2022-04-17",0
"2022-04-18",480
"2022-04-19",44
"2022-04-20",8054
"2022-04-21",167
"2022-04-22",139
"2022-04-23",0
"2022-04-24",0
"2022-04-25",188
"2022-04-26",229
"2022-04-27",10992
"2022-04-28",0
"2022-04-29",363
"2022-04-30",0
"2022-05-01",0
"2022-05-02",300
"2022-05-03",132
"2022-05-04",13365
"2022-05-05",22
"2022-05-06",353
"2022-05-07",0
"2022-05-08",0
"2022-05-09",141
"2022-05-10",258
"2022-05-11",17490
"2022-05-12",215
"2022-05-13",9
"2022-05-14",0
"2022-05-15",0
"2022-05-16",290
"2022-05-17",182
"2022-05-18",22921
"2022-05-19",472
"2022-05-20",156
"2022-05-21",0
"2022-05-22",0
"2022-05-23",383
"2022-05-24",159
"2022-05-25",28048
"2022-05-26",111
"2022-05-27",0
"2022-05-28",0
"2022-05-29",0
"2022-05-30",0
"2022-05-31",927
"2022-06-01",26672
